,Importance
20-29,0.0721926637298064
30-39,2.5471225980656036
40-49,3.3716897511428296
50-59,3.239473052038834
60-69,2.604645497701357
70-79,0.24896223058059525
ge40,2.6865123317743174
lt40,0.6055718317010798
premeno,3.1261439889034577
0-4,0.3790758539613826
10-14,1.678044801228629
15-19,2.3400794407295575
20-24,3.2038047051385172
25-29,3.5506096090050185
30-34,3.982930928945754
35-39,2.8390659315265485
40-44,2.5038484422158827
45-49,0.9670992100661351
5-9,0.22338352826981994
50-54,1.1330948473349984
0-2,5.113553947302287
12-14,0.20480651131625727
15-17,0.47087595540788346
24-26,0.03187785592357131
3-5,2.377758736829621
6-8,1.8226823362749218
9-11,1.5979928533786616
?,0.668030790737695
no,3.3019605254364093
yes,2.988430304154239
1,2.6920019946544684
2,4.4504747710506365
3,7.0065967695997475
breast,6.115740083061104
central,1.6358932924555758
left_low,3.770401124878143
left_up,4.237696395013158
right_low,1.4735180102355756
right_up,2.775904920125342
irradiat,4.636433828146045
